Congress,Democrat,Republic,Independent
88,258,176,1
89,295,140,0
90,248,187,0
91,243,192,0
92,255,180,0
93,243,192,0
94,291,144,0
95,292,143,0
96,278,157,0
97,243,192,0
98,269,166,0
99,254,181,0
100,258,177,0
101,260,175,0
102,267,167,1
103,258,176,1
104,204,230,1
105,207,226,2
106,211,223,1
107,213,220,2
108,205,229,1
109,201,233,1
110,233,202,0
111,257,178,0
112,193,242,0
113,201,234,0
114,188,247,0
115,194,241,0
116,235,200,0
